id инвестора;name;phone;email
1;М.В. Мироновa;793314117;mvmironova@gmail.ru
2;А.Э. Рожковa;792056586;aerozhkova@yandex.com
3;Е.И. Волковa;749690072;eivolkova@mail.ru
4;Н.Р. Логинов;793597011;nrloginov@yandex.ru
5;Д.Н. Анисимовa;796789367;dnanisimova@yandex.com
6;К.Н. Лобанов;798370530;knlobanov@yandex.ru
7;Ф.А. Куликов;790654543;fakulikov@gmail.com
8;Г.Х. Федотовa;794270039;ghfedotova@gmail.com
9;Д.И. Аксёнов;794389959;diaksenov@mail.ru
10;Р.М. Маслов;792330628;rmmaslov@gmail.ru
11;А.Л. Селезнёвa;795357188;alselezneva@gmail.com
12;Н.Ю. Кудрявцевa;793388081;nykudryavtseva@gmail.ru
13;П.О. Беляев;796087735;pobelyaev@gmail.ru
14;П.И. Гришинa;790024226;pigrishina@mail.com
15;В.Е. Исаков;796773261;veisakov@mail.com
16;А.А. Корнилов;794016128;aakornilov@yandex.ru
17;Т.В. Зиновьевa;795288487;tvzinovieva@mail.com
18;О.Я. Петровa;794770026;oyapetrova@yandex.com
19;В.И. Зыков;791030516;vizykov@yandex.ru
20;М.И. Потаповa;794363340;mipotapova@yandex.ru
21;Г.С. Емельянов;799566539;gsemelyanov@gmail.com
22;И.Я. Никифоровa;796944011;iyanikiforova@mail.com
23;А.Б. Блохин;793367774;abblokhin@mail.ru
24;Б.З. Силин;793865743;bzsilin@mail.ru
25;Д.Д. Гусев;794731720;ddgusev@yandex.com
26;В.Г. Михайлов;793425423;vgmikhailov@mail.ru
27;Е.И. Герасимовa;793693351;eigerasimova@yandex.ru
28;Л.Т. Киселёвa;791198954;ltkiseleva@yandex.com
29;Я.И. Харитоновa;794144351;yaikharitonova@yandex.com
30;В.А. Сафонов;793541724;vasafonov@mail.ru
31;К.В. Новиковa;799821842;kvnovikova@mail.com
32;Ф.А. Пахомовa;792178845;fapakhomova@mail.ru
33;И.Г. Афанасьевa;795625644;igafanasyeva@yandex.ru
34;Э.А. Афанасьевa;791039099;eaafanasyeva@yandex.ru
35;Н.М. Мельниковa;797033710;nmmelnikova@yandex.ru
36;А.Ф. Лазарев;791119594;aflazarev@gmail.com
37;Ф.В. Доронин;794435776;fvdoronin@mail.ru
38;Л.Д. Никифоров;796881815;ldnikiforov@mail.com
39;А.А. Родионовa;798132334;aarodionova@gmail.ru
40;В.А. Буров;795676433;vaburov@mail.ru
41;И.Г. Быков;794763832;igbykov@yandex.com
42;И.Т. Фокинa;795481021;itfokina@mail.com
43;Ф.Т. Архипов;797270449;ftarkhipov@yandex.ru
44;Э.В. Князевa;794738934;evknyazeva@mail.ru
45;М.Ф. Семёновa;790096735;mfsemenova@yandex.com
46;Р.И. Гришин;795697869;rigrishin@gmail.ru
47;Г.С. Молчанов;797966368;gsmolchanov@yandex.com
48;Е.Ф. Сысоев;796764396;efsysoev@yandex.com
49;Н.Б. Титовa;792162089;nbtitova@gmail.com
50;Ф.В. Алексеев;799845461;fvalekseev@mail.ru
51;В.И. Константинов;793239296;vikonstantinov@yandex.ru
52;Э.В. Горшковa;793169260;evgorshkova@yandex.com
53;Л.З. Селезнёв;794470897;lzseleznev@gmail.com
54;И.Т. Евсеев;793081655;itevseev@mail.com
55;М.М. Дорофеевa;794057965;mmdorofeeva@gmail.ru
56;В.М. Молчанов;794248357;vmmolchanov@yandex.ru
57;Э.В. Роговa;794345636;evrogova@gmail.ru
58;Л.В. Федосеев;792248970;lvfedoseev@mail.com
59;Е.В. Шаров;799550750;evsharov@yandex.com
60;И.А. Большаков;791242392;iabolshakov@yandex.ru
61;П.А. Сухановa;799950090;pasukhanova@gmail.com
62;Р.А. Елисеев;797949657;raeliseev@gmail.com
63;В.Д. Михайлов;799683491;vdmikhailov@yandex.ru
64;Е.Ю. Шиловa;798760645;eyshilova@gmail.com
65;Я.С. Беспалов;790241748;yasbespalov@mail.com
66;С.И. Щукин;794083666;sishchukin@mail.com
67;К.Е. Кудряшовa;796836133;kekudryashova@mail.com
68;Л.В. Федосеев;793621283;lvfedoseev@yandex.ru
69;К.А. Пестовa;792611088;kapestova@mail.com
70;А.А. Петуховa;749891598;aapetukhova@mail.com
71;А.И. Зиновьев;798560651;aizinoviev@mail.ru
72;М.Х. Харитонов;790864896;mhkharitonov@yandex.com
73;А.Р. Крыловa;798053099;arkrylova@gmail.ru
74;С.Ю. Калашников;794780952;sykalashnikov@yandex.ru
75;Г.А. Рожков;798297481;garozhkov@yandex.com
76;Я.Д. Прохоровa;795696496;yadprokhorova@gmail.ru
77;Г.Э. Елисеевa;749921399;geeliseeva@mail.ru
78;А.Ю. Гришинa;798573576;aygrishina@mail.ru
79;С.О. Уваров;795339068;souvarov@yandex.com
80;А.Д. Фомичёв;799366837;adfomichev@gmail.com
81;А.Я. Ершовa;792258391;ayaershova@gmail.ru
82;В.Я. Федотов;794587665;vyafedotov@gmail.com
