name;phone;email;company
М.В. Мироновa;793314117;mvmironova@gmail.ru;Caterpillar
А.Э. Рожковa;792056586;aerozhkova@yandex.com;Caterpillar
Е.И. Волковa;749690072;eivolkova@mail.ru;Google
Н.Р. Логинов;793597011;nrloginov@yandex.ru;Tesla Motors
Д.Н. Анисимовa;796789367;dnanisimova@yandex.com;Google
К.Н. Лобанов;798370530;knlobanov@yandex.ru;Caterpillar
Ф.А. Куликов;790654543;fakulikov@gmail.com;Caterpillar
Г.Х. Федотовa;794270039;ghfedotova@gmail.com;Caterpillar
Д.И. Аксёнов;794389959;diaksenov@mail.ru;Tesla Motors
Р.М. Маслов;792330628;rmmaslov@gmail.ru;The Coca-Cola
А.Л. Селезнёвa;795357188;alselezneva@gmail.com;Walt Disney
Н.Ю. Кудрявцевa;793388081;nykudryavtseva@gmail.ru;MasterCard
П.О. Беляев;796087735;pobelyaev@gmail.ru;Walt Disney
П.И. Гришинa;790024226;pigrishina@mail.com;Activision Blizzard
В.Е. Исаков;796773261;veisakov@mail.com;Adidas
А.А. Корнилов;794016128;aakornilov@yandex.ru;Alibaba 
Т.В. Зиновьевa;795288487;tvzinovieva@mail.com;Amazon
О.Я. Петровa;794770026;oyapetrova@yandex.com;Airbus
В.И. Зыков;791030516;vizykov@yandex.ru;American Express
М.И. Потаповa;794363340;mipotapova@yandex.ru;Intel Corp
Г.С. Емельянов;799566539;gsemelyanov@gmail.com;Caterpillar
И.Я. Никифоровa;796944011;iyanikiforova@mail.com;Johnson&Hohnson
А.Б. Блохин;793367774;abblokhin@mail.ru;Lenovo Group
Б.З. Силин;793865743;bzsilin@mail.ru;Apple lnc
Д.Д. Гусев;794731720;ddgusev@yandex.com;Adobe Systems
В.Г. Михайлов;793425423;vgmikhailov@mail.ru;BMW
Е.И. Герасимовa;793693351;eigerasimova@yandex.ru;McDonald's Corp
Л.Т. Киселёвa;791198954;ltkiseleva@yandex.com;Ferrari
Я.И. Харитоновa;794144351;yaikharitonova@yandex.com;MasterCard
В.А. Сафонов;793541724;vasafonov@mail.ru;MasterCard
К.В. Новиковa;799821842;kvnovikova@mail.com;Apple lnc
Ф.А. Пахомовa;792178845;fapakhomova@mail.ru;Apple lnc
И.Г. Афанасьевa;795625644;igafanasyeva@yandex.ru;Apple lnc
Э.А. Афанасьевa;791039099;eaafanasyeva@yandex.ru;Activision Blizzard
Н.М. Мельниковa;797033710;nmmelnikova@yandex.ru;Adidas
А.Ф. Лазарев;791119594;aflazarev@gmail.com;Amazon
Ф.В. Доронин;794435776;fvdoronin@mail.ru;The Coca-Cola
Л.Д. Никифоров;796881815;ldnikiforov@mail.com;Airbus
А.А. Родионовa;798132334;aarodionova@gmail.ru;Airbus
В.А. Буров;795676433;vaburov@mail.ru;BMW
И.Г. Быков;794763832;igbykov@yandex.com;Caterpillar
И.Т. Фокинa;795481021;itfokina@mail.com;Caterpillar
Ф.Т. Архипов;797270449;ftarkhipov@yandex.ru;Google
Э.В. Князевa;794738934;evknyazeva@mail.ru;Tesla Motors
М.Ф. Семёновa;790096735;mfsemenova@yandex.com;The Coca-Cola
Р.И. Гришин;795697869;rigrishin@gmail.ru;Walt Disney
Г.С. Молчанов;797966368;gsmolchanov@yandex.com;Apple lnc
Е.Ф. Сысоев;796764396;efsysoev@yandex.com;Activision Blizzard
Н.Б. Титовa;792162089;nbtitova@gmail.com;Adidas
Ф.В. Алексеев;799845461;fvalekseev@mail.ru;Apple lnc
